Row Labels,Sum of Id,Sum of MSSubClass,Sum of OverallQual,Sum of 1stFlrSF,Sum of FullBath,Sum of SalePrice,Sum of MoSold
21,16353,3820,117,13378,25,2168400,141
RM,16353,3820,117,13378,25,2168400,141
Inside,16353,3820,117,13378,25,2168400,141
AllPub,16353,3820,117,13378,25,2168400,141
Reg,16353,3820,117,13378,25,2168400,141
CemntBd,10231,2060,52,7498,13,1061000,71
Gd,925,360,8,1260,2,167000,11
0,925,360,8,1260,2,167000,11
ALQ,435,180,4,630,1,81000,6
TA,435,180,4,630,1,81000,6
Gd,435,180,4,630,1,81000,6
Gd,435,180,4,630,1,81000,6
Typ,435,180,4,630,1,81000,6
NA,435,180,4,630,1,81000,6
NA,435,180,4,630,1,81000,6
NA,435,180,4,630,1,81000,6
WD,435,180,4,630,1,81000,6
Normal,435,180,4,630,1,81000,6
GLQ,490,180,4,630,1,86000,5
TA,490,180,4,630,1,86000,5
Gd,490,180,4,630,1,86000,5
TA,490,180,4,630,1,86000,5
Typ,490,180,4,630,1,86000,5
NA,490,180,4,630,1,86000,5
Attchd,490,180,4,630,1,86000,5
TA,490,180,4,630,1,86000,5
WD,490,180,4,630,1,86000,5
Normal,490,180,4,630,1,86000,5
TA,9306,1700,44,6238,11,894000,60
0,5878,1220,29,4390,7,608000,53
BLQ,1658,340,8,1176,2,172500,20
TA,1658,340,8,1176,2,172500,20
Gd,650,180,4,630,1,84500,12
Gd,650,180,4,630,1,84500,12
Typ,650,180,4,630,1,84500,12
NA,650,180,4,630,1,84500,12
NA,650,180,4,630,1,84500,12
NA,650,180,4,630,1,84500,12
WD,650,180,4,630,1,84500,12
Normal,650,180,4,630,1,84500,12
TA,1008,160,4,546,1,88000,8
TA,1008,160,4,546,1,88000,8
Typ,1008,160,4,546,1,88000,8
NA,1008,160,4,546,1,88000,8
Attchd,1008,160,4,546,1,88000,8
TA,1008,160,4,546,1,88000,8
WD,1008,160,4,546,1,88000,8
Normal,1008,160,4,546,1,88000,8
GLQ,2566,540,13,1786,3,263000,23
TA,2566,540,13,1786,3,263000,23
Gd,2566,540,13,1786,3,263000,23
Ex,1450,180,5,630,1,92000,8
Typ,1450,180,5,630,1,92000,8
NA,1450,180,5,630,1,92000,8
NA,1450,180,5,630,1,92000,8
NA,1450,180,5,630,1,92000,8
WD,1450,180,5,630,1,92000,8
Abnorml,1450,180,5,630,1,92000,8
TA,1116,360,8,1156,2,171000,15
Typ,1116,360,8,1156,2,171000,15
NA,1116,360,8,1156,2,171000,15
Attchd,1040,180,4,630,1,80000,4
TA,1040,180,4,630,1,80000,4
WD,1040,180,4,630,1,80000,4
Normal,1040,180,4,630,1,80000,4
BuiltIn,76,180,4,526,1,91000,11
TA,76,180,4,526,1,91000,11
WD,76,180,4,526,1,91000,11
Normal,76,180,4,526,1,91000,11
LwQ,615,180,4,630,1,75500,5
TA,615,180,4,630,1,75500,5
Gd,615,180,4,630,1,75500,5
Ex,615,180,4,630,1,75500,5
Typ,615,180,4,630,1,75500,5
NA,615,180,4,630,1,75500,5
NA,615,180,4,630,1,75500,5
NA,615,180,4,630,1,75500,5
WD,615,180,4,630,1,75500,5
Normal,615,180,4,630,1,75500,5
Unf,1039,160,4,798,1,97000,5
TA,1039,160,4,798,1,97000,5
TA,1039,160,4,798,1,97000,5
TA,1039,160,4,798,1,97000,5
Typ,1039,160,4,798,1,97000,5
TA,1039,160,4,798,1,97000,5
NA,1039,160,4,798,1,97000,5
NA,1039,160,4,798,1,97000,5
WD,1039,160,4,798,1,97000,5
Normal,1039,160,4,798,1,97000,5
80,916,160,4,546,1,75000,1
Unf,916,160,4,546,1,75000,1
TA,916,160,4,546,1,75000,1
TA,916,160,4,546,1,75000,1
Fa,916,160,4,546,1,75000,1
Typ,916,160,4,546,1,75000,1
NA,916,160,4,546,1,75000,1
Attchd,916,160,4,546,1,75000,1
TA,916,160,4,546,1,75000,1
WD,916,160,4,546,1,75000,1
Normal,916,160,4,546,1,75000,1
236,1220,160,6,672,1,91500,4
Unf,1220,160,6,672,1,91500,4
TA,1220,160,6,672,1,91500,4
TA,1220,160,6,672,1,91500,4
TA,1220,160,6,672,1,91500,4
Typ,1220,160,6,672,1,91500,4
NA,1220,160,6,672,1,91500,4
NA,1220,160,6,672,1,91500,4
NA,1220,160,6,672,1,91500,4
WD,1220,160,6,672,1,91500,4
Abnorml,1220,160,6,672,1,91500,4
